Title,Budget,Cost,Date,Ex/In,Special,Type Expenses,Type In come
trứng + thịt kho + mì,-70000,"₫70,000",20/10/2025,Expenses,,AC,
thuốc 3 số,-25000,"₫25,000",19/10/2025,Expenses,,Smoking,
trà đào,-35000,"₫35,000",20/10/2025,Expenses,,AV,
bida với kiên,-25000,"₫25,000",18/10/2025,Expenses,,Bida,
nước mía,-10000,"₫10,000",19/10/2025,Expenses,,AV,
điện thoại cho cha,-175000,"₫175,000",19/10/2025,Expenses,BigM,Family,
vay vốn sinh viên 2025,48000000,"₫48,000,000",19/10/2025,In-come,"BigY, Vay",,Cho vay
xịn mẹ tiền tuần,883000,"₫883,000",19/10/2025,In-come,,,Family
bida với ân,-35000,"₫35,000",20/10/2025,Expenses,,Bida,
"cơm gà, cơm tắm , ăn sáng, nc đá",-64000,"₫64,000",20/10/2025,Expenses,,AC,
ép táo,-15000,"₫15,000",20/10/2025,Expenses,,AV,
đầu tư:  chưa chốt,-6720000,"₫6,720,000",20/10/2025,Expenses,"BigY, Vay",Cho vay,
"sữa chua, bánh KFC, tàu hủ",-33000,"₫33,000",21/10/2025,Expenses,,AV,
"ăn sáng, cơm trưa",-33000,"₫33,000",21/10/2025,Expenses,,AC,
bida với béo,-43000,"₫43,000",21/10/2025,Expenses,,Bida,
"cà chua, ăn sáng",-19000,"₫19,000",22/10/2025,Expenses,,AC,
cam ép,-12000,"₫12,000",22/10/2025,Expenses,,AV,
cáp sạc laptop,-47000,"₫47,000",22/10/2025,Expenses,,Utility,
học bổng 2-III,13090000,"₫13,090,000",23/10/2025,In-come,BigY,,Salary
"ăn sáng, trà đá, nc đá, C2",-40000,"₫40,000",23/10/2025,Expenses,,AC,
bánh AFC,-28000,"₫28,000",23/10/2025,Expenses,,AV,
gửi xe,-4000,"₫4,000",23/10/2025,Expenses,,Study,
nước ktx,-15000,"₫15,000",23/10/2025,Expenses,,Home,
bơi,-40000,"₫40,000",23/10/2025,Expenses,,Swimming,
bida với béo,-42000,"₫42,000",23/10/2025,Expenses,,Bida,
"cơm gà , ăn sáng",-34000,"₫34,000",24/10/2025,Expenses,,AC,
bida với ân,-30000,"₫30,000",24/10/2025,Expenses,,Bida,
nước cam,-8000,"₫8,000",24/10/2025,Expenses,,AV,
"đồ ăn, trứng, bánh",-70000,"₫70,000",27/10/2025,Expenses,,AC,
"ngũ cốc, bánh",-30000,"₫30,000",27/10/2025,Expenses,,AV,
xăng,-50000,"₫50,000",27/10/2025,Expenses,,DC,
tiền tuần,619000,"₫619,000",26/10/2025,In-come,,,Family
ăn sáng + nc đá,-6000,"₫6,000",27/10/2025,Expenses,,AC,
bida với ân,-33000,"₫33,000",27/10/2025,Expenses,,Bida,
4G monthly,-60000,"₫60,000",27/10/2025,Expenses,Monthly,Utility,
"ăn trưa, nước đá, nước suối",-38000,"₫38,000",28/10/2025,Expenses,,AC,
đậu hà lan,-10000,"₫10,000",28/10/2025,Expenses,,AV,
"tesst project, gửi xe",-8000,"₫8,000",28/10/2025,Expenses,,Study,
bida với ân,-36000,"₫36,000",28/10/2025,Expenses,,Bida,
mì cay,-52000,"₫52,000",28/10/2025,Expenses,,AC,
bida với ân,-67000,"₫67,000",29/10/2025,Expenses,,Bida,
"đùi gà ăn cơm, bánh tiêu, nc đá, chuối",-30000,"₫30,000",29/10/2025,Expenses,,AC,
"mì trộn, nước đá, cơm gà",-52000,"₫52,000",30/10/2025,Expenses,,AC,
"chuối nướng, ép dưa hấu",-24000,"₫24,000",30/10/2025,Expenses,,AV,
hớt tóc,-50000,"₫50,000",30/10/2025,Expenses,,Body,
"ăn sáng, mì thịt, nước đá, đùi gà",-48000,"₫48,000",01/11/2025,Expenses,,AC,
"cafe, bột",-35000,"₫35,000",01/11/2025,Expenses,,Coffee,
"khoai lan xáy, sữa tươi",-24000,"₫24,000",01/11/2025,Expenses,,AV,
xăng,-40000,"₫40,000",03/11/2025,Expenses,,DC,
"bánh, sữa, gạo, thịt kho, ",-100000,"₫100,000",03/11/2025,Expenses,,AC,
cafe,-15000,"₫15,000",03/11/2025,Expenses,,AV,
tiền tuần,550000,"₫550,000",03/11/2025,In-come,,,Family
"cơm gà, bò né, nước đá, bánh mì",-75000,"₫75,000",03/11/2025,Expenses,,AC,
gửi xe,-14000,"₫14,000",04/11/2025,Expenses,,Study,
"bida với ân, béo",-50000,"₫50,000",03/11/2025,Expenses,,Bida,
bida với ân,-35000,"₫35,000",04/11/2025,Expenses,,Bida,
phí bóng chuyền with KTPM,-17000,"₫17,000",04/11/2025,Expenses,,RL,
bàn phím hyperwork,-430000,"₫430,000",04/11/2025,Expenses,BigM,Utility,
"trứng, cà chua",-46000,"₫46,000",05/11/2025,Expenses,,AC,
ăn sáng,-5000,"₫5,000",06/11/2025,Expenses,,AC,
tàu hủ,-12000,"₫12,000",06/11/2025,Expenses,,AV,
"cơm sườn, xoi",-40000,"₫40,000",07/11/2025,Expenses,,AC,
bida với ân,-70000,"₫70,000",06/11/2025,Expenses,,Bida,
bida với béo,-44000,"₫44,000",07/11/2025,Expenses,,Bida,
miếng gà,-30000,"₫30,000",06/11/2025,Expenses,,AC,
bida với ân,-30000,"₫30,000",08/11/2025,Expenses,,Bida,
xăng,-50000,"₫50,000",10/11/2025,Expenses,,DC,
"trứng, ngũ cốc, bánh, gạo",-70000,"₫70,000",10/11/2025,Expenses,,AC,
tiền tuần,520000,"₫520,000",10/11/2025,In-come,,,Family
"mì, mì",-50000,"₫50,000",10/11/2025,Expenses,,AC,
sữa chua,-6000,"₫6,000",10/11/2025,Expenses,,AV,
bida với ân,-18000,"₫18,000",10/11/2025,Expenses,,Bida,
"cơm , bánh tiêu",-36000,"₫36,000",11/11/2025,Expenses,,AC,
gửi xe,-6000,"₫6,000",11/11/2025,Expenses,,Study,
phí làm hộ chiếu,-133000,"₫133,000",11/11/2025,Expenses,BigM,Utility,
"mì trộn itada, đồ ăn",-70000,"₫70,000",12/11/2025,Expenses,,AC,
bida với ân,-52000,"₫52,000",13/11/2025,Expenses,,Bida,
"gà , cơm, nc đá",-43000,"₫43,000",13/11/2025,Expenses,,AC,
"solola, probi",-16000,"₫16,000",13/11/2025,Expenses,,AV,
cafe,-16000,"₫16,000",13/11/2025,Expenses,,Coffee,
"mì thịt, đùi gà",-46000,"₫46,000",14/11/2025,Expenses,,AC,
tiền tuần,500000,"₫500,000",16/11/2025,In-come,,,Family
cafe,-30000,"₫30,000",17/11/2025,Expenses,,Coffee,
"sữa, thịt kho, trứng",-70000,"₫70,000",17/11/2025,Expenses,,AC,
xăng,-20000,"₫20,000",16/11/2025,Expenses,,DC,
quần tây,-343000,"₫343,000",16/11/2025,Expenses,BigM,CL,
ly lock & lock + túi,-404000,"₫404,000",16/11/2025,Expenses,BigM,Utility,
nhậu nhà q,-96000,"₫96,000",17/11/2025,Expenses,,RL,
ngu: gói apple,-50000,"₫50,000",17/11/2025,Expenses,,Ngu,
nước đá,-2000,"₫2,000",17/11/2025,Expenses,,AC,
bida với ân,-80000,"₫80,000",19/11/2025,Expenses,,Bida,
"ăn sáng, sữa chưa",-23000,"₫23,000",19/11/2025,Expenses,,AC,
thuốc lá,-25000,"₫25,000",19/11/2025,Expenses,,Smoking,
photo,-10000,"₫10,000",19/11/2025,Expenses,,Study,
dầu ăn,-22000,"₫22,000",19/11/2025,Expenses,,AC,
bida với béo,-44000,"₫44,000",20/11/2025,Expenses,,Bida,
đò ăn,-85000,"₫85,000",21/11/2025,Expenses,,AC,
cafe,-15000,"₫15,000",21/11/2025,Expenses,,AV,
xăng,-20000,"₫20,000",21/11/2025,Expenses,,DC,
ket noi yeu thuong,-20000,"₫20,000",21/11/2025,Expenses,,Study,
bánh ăn vặt,-6000,"₫6,000",23/11/2025,Expenses,,AV,
cafe,-50000,"₫50,000",23/11/2025,Expenses,,Coffee,
"thịt kho, trứng, gạo",-100000,"₫100,000",24/11/2025,Expenses,,AC,
tiền tuần,501000,"₫501,000",23/11/2025,In-come,,,Family
bida với béo,-47000,"₫47,000",07/02/2026,Expenses,,Bida,
bida với ân,-66000,"₫66,000",07/02/2026,Expenses,,Bida,
điện nước tháng 10,-107000,"₫107,000",24/11/2025,Expenses,Monthly,Home,
mì + cơm,-52000,"₫52,000",24/11/2025,Expenses,,AC,
gửi xe,-4000,"₫4,000",24/11/2025,Expenses,,Study,
photo,-25000,"₫25,000",24/11/2025,Expenses,,Study,
bida với béo,-32000,"₫32,000",24/11/2025,Expenses,,Bida,
bida với béo,-44000,"₫44,000",25/11/2025,Expenses,,Bida,
"mì, ăn sáng",-41000,"₫41,000",25/11/2025,Expenses,,AC,
nước ktx,-20000,"₫20,000",26/11/2025,Expenses,,Home,
4G monthly,-45000,"₫45,000",26/11/2025,Expenses,Monthly,Utility,
viết ,-14000,"₫14,000",27/11/2025,Expenses,,Study,
bánh tiêu,-6000,"₫6,000",27/11/2025,Expenses,,AC,
hủ tiếu,-37000,"₫37,000",26/11/2025,Expenses,,AC,
bida với ân,-39000,"₫39,000",27/11/2025,Expenses,,Bida,
gà,-85000,"₫85,000",27/11/2025,Expenses,,AC,
trà sữa,-30000,"₫30,000",27/11/2025,Expenses,,AV,
xăng,-20000,"₫20,000",29/11/2025,Expenses,,DC,
cháo,-20000,"₫20,000",28/11/2025,Expenses,,AC,
đồ ăn + trứng,-50000,"₫50,000",01/12/2025,Expenses,,AC,
vớ ,-19000,"₫19,000",28/11/2025,Expenses,,CL,
bida trộn với  ân,-48000,"₫48,000",07/02/2026,Expenses,,AC,
tai nghe chụp tai,-758000,"₫758,000",30/11/2025,Expenses,BigM,Utility,
tiền tuần,476000,"₫476,000",30/11/2025,In-come,,,Family
hủ tiếu,-17000,"₫17,000",30/11/2025,Expenses,,AC,
cháo,-50000,"₫50,000",02/12/2025,Expenses,,AC,
"xôi, nước đá",-11000,"₫11,000",01/12/2025,Expenses,,AC,
uống nước làm bài với q,-42000,"₫42,000",30/11/2025,Expenses,,G,
bida với ân,-43000,"₫43,000",01/12/2025,Expenses,,Bida,
vé xem phim,-85000,"₫85,000",01/12/2025,Expenses,,G,
"nước, bắp, bún",-125000,"₫125,000",03/12/2025,Expenses,,G,
khăn giấy,-7000,"₫7,000",03/12/2025,Expenses,,Body,
bida với ân,-40000,"₫40,000",03/12/2025,Expenses,,Bida,
mì,-27000,"₫27,000",03/12/2025,Expenses,,AC,
bida với béo,-44000,"₫44,000",03/12/2025,Expenses,,Bida,
cf + nước đá,-19000,"₫19,000",04/12/2025,Expenses,,Coffee,
bơi,-40000,"₫40,000",04/12/2025,Expenses,,Swimming,
hủ tiếu,-22000,"₫22,000",04/12/2025,Expenses,,AC,
điện nước tháng 11,-90000,"₫90,000",04/12/2025,Expenses,Monthly,Home,
rau má dừa,-10000,"₫10,000",05/12/2025,Expenses,,AV,
"xoi  đùi gà, hành tỏi",-33000,"₫33,000",05/12/2025,Expenses,,AC,
xăng,-20000,"₫20,000",05/12/2025,Expenses,,DC,
xăng,-30000,"₫30,000",07/12/2025,Expenses,,DC,
"trứng, sữa, thịt kho, nước mắn, nước tương, cf, gạo",-200000,"₫200,000",08/12/2025,Expenses,,AC,
tiền tuần,266000,"₫266,000",07/12/2025,In-come,,,Family
hớt tóc,-50000,"₫50,000",09/12/2025,Expenses,,Body,
spotify 3 tháng,-65000,"₫65,000",09/12/2025,Expenses,Monthly,Utility,
"nước đá, bánh ăn sáng",-13000,"₫13,000",09/12/2025,Expenses,,AC,
"gà, hủ tiếu, nước đá, bánh",-53000,"₫53,000",11/12/2025,Expenses,,AC,
bida với béo,-30000,"₫30,000",11/12/2025,Expenses,,Bida,
béo,30000,"₫30,000",27/11/2025,In-come,,,Anh em
cafe căn tin,-14000,"₫14,000",11/12/2025,Expenses,,Coffee,
bida với duy,-20000,"₫20,000",12/12/2025,Expenses,,Bida,
"mì, sữa chua",-29000,"₫29,000",12/12/2025,Expenses,,AC,
photo mmt,-20000,"₫20,000",12/12/2025,Expenses,,Study,
cơm sườn,-35000,"₫35,000",12/12/2025,Expenses,,AC,
cf,-18000,"₫18,000",12/12/2025,Expenses,,Coffee,
nhậu ktpm,-184000,"₫184,000",13/12/2025,Expenses,,RL,
bida với thịnh,-21000,"₫21,000",13/12/2025,Expenses,,Bida,
thịt sườn,-17000,"₫17,000",13/12/2025,Expenses,,AC,
vé số,-10000,"₫10,000",13/12/2025,Expenses,,Ngu,
xăng về quê,-20000,"₫20,000",13/12/2025,Expenses,,DC,
xăng,-30000,"₫30,000",14/12/2025,Expenses,,DC,
cafe,-15000,"₫15,000",14/12/2025,Expenses,,Coffee,
"khổ trang, khăn giấy",-30000,"₫30,000",14/12/2025,Expenses,,Utility,
kem đánh răng,-23000,"₫23,000",14/12/2025,Expenses,,Body,
tiền tuần,412000,"₫412,000",14/12/2025,In-come,,,Family
"ăn sáng , nước đá, bún",-50000,"₫50,000",16/12/2025,Expenses,,AC,
học phí 3-II,-18012000,"₫18,012,000",30/04/2026,Expenses,BigY,Study,
thảm tập thể dục,-170000,"₫170,000",01/06/2026,Expenses,BigM,Sport,
miếng dán chuột,-47000,"₫47,000",01/06/2026,Expenses,,Utility,
trọ tháng 6,-1546000,"₫1,546,000",01/06/2026,Expenses,Monthly,Home,
chuối chiên,-8000,"₫8,000",01/06/2026,Expenses,,AC,
xăng,-50000,"₫50,000",01/06/2026,Expenses,,DC,
bida total 3 đối,-100000,"₫100,000",01/06/2026,Expenses,,Bida,
boi tron,-90000,"₫90,000",01/06/2026,Expenses,,G,
tiền tuần,300000,"₫300,000",30/05/2026,In-come,,,Family
"thịt, trứng, khoai lan, bánh, trứng,
  sữa, bánh mì",-192000,"₫192,000",30/05/2026,Expenses,,AC,
bida với tường,-30000,"₫30,000",30/05/2026,Expenses,,Bida,
bánh bao,-17000,"₫17,000",30/05/2026,Expenses,,AC,
Cầu lông,-40000,"₫40,000",30/05/2026,Expenses,,Badmintion,
nạp điện thoại,-10000,"₫10,000",29/05/2026,Expenses,,Utility,
đăng ký in bảng điểm,-20000,"₫20,000",29/05/2026,Expenses,,Study,
cơm trưa với quỳnh,-50000,"₫50,000",29/05/2026,Expenses,,AC,
vé số,-40000,"₫40,000",28/05/2026,Expenses,,Ngu,
bánh mì que ăn sáng,-20000,"₫20,000",28/05/2026,Expenses,,AC,
trà sữa,-32000,"₫32,000",28/05/2026,Expenses,,AV,
bida với ân,-32000,"₫32,000",28/05/2026,Expenses,,Bida,
bida + trà sữa,-22000,"₫22,000",28/05/2026,Expenses,,Bida,
xăng,-40000,"₫40,000",26/05/2026,Expenses,,DC,
há cảo,-30000,"₫30,000",26/05/2026,Expenses,,AC,
bida với béo,-46000,"₫46,000",26/05/2026,Expenses,,Bida,
bida với ân,-40000,"₫40,000",26/05/2026,Expenses,,Bida,
cơm + bánh mì + sữa tươi,-52000,"₫52,000",26/05/2026,Expenses,,AC,
xăng,-40000,"₫40,000",24/05/2026,Expenses,,DC,
tiền tuần,550000,"₫550,000",24/05/2026,In-come,,,Family
"thịt kho, trứng,...",-150000,"₫150,000",24/05/2026,Expenses,,AC,
bida với ân,-45000,"₫45,000",24/05/2026,Expenses,,Bida,
bida với ân,-22000,"₫22,000",21/05/2026,Expenses,,Bida,
bánh mì ăn chiều,-15000,"₫15,000",21/05/2026,Expenses,,AC,
cơm + nước ẻm,-35000,"₫35,000",21/05/2026,Expenses,,G,
cơm + nước,-35000,"₫35,000",21/05/2026,Expenses,,AC,
hủ tiếu,-18000,"₫18,000",21/05/2026,Expenses,,AC,
bida với nhã,-35000,"₫35,000",20/05/2026,Expenses,,Bida,
cơm gà + bánh mì,-65000,"₫65,000",20/05/2026,Expenses,,AC,
cf,-35000,"₫35,000",20/05/2026,Expenses,,Coffee,
"bánh quy, bánh mì",-40000,"₫40,000",19/05/2026,Expenses,,AC,
bida với ân,-45000,"₫45,000",19/05/2026,Expenses,,Bida,
kẹo,-33000,"₫33,000",18/05/2026,Expenses,,AV,
nước tương,-10000,"₫10,000",18/05/2026,Expenses,,AC,
xăng,-50000,"₫50,000",17/05/2026,Expenses,,DC,
đường,-15000,"₫15,000",16/05/2026,Expenses,,RL,
khăn giấy,-35000,"₫35,000",16/05/2026,Expenses,,Home,
cf,-95000,"₫95,000",16/05/2026,Expenses,,Coffee,
thịt kho + trứng +đồ ăn,-100000,"₫100,000",16/05/2026,Expenses,,AC,
tiền tuần,450000,"₫450,000",16/05/2026,In-come,,,Family
nước dừa + sữa tươi,-30000,"₫30,000",15/05/2026,Expenses,,AV,
nước dừa,-20000,"₫20,000",15/05/2026,Expenses,,AV,
ăn với ktx,-121000,"₫121,000",07/02/2026,Expenses,,RL,
bida với ân,-54000,"₫54,000",15/05/2026,Expenses,,Bida,
xăng,-30000,"₫30,000",15/05/2026,Expenses,,DC,
quạt trọ,-150000,"₫150,000",15/05/2026,Expenses,,Home,
"nước đá, nước ngọt",-20000,"₫20,000",14/05/2026,Expenses,,AV,
lãi màn hình - ân,70000,"₫70,000",12/05/2026,In-come,,,Anh em
cf với thiên,-20000,"₫20,000",12/05/2026,Expenses,,RL,
cf,-20000,"₫20,000",12/05/2026,Expenses,,Coffee,
bánh mực + cơm cho ẻm,-75000,"₫75,000",12/05/2026,Expenses,,G,
cơm trưa,-25000,"₫25,000",12/05/2026,Expenses,,AC,
bida với ân,-15000,"₫15,000",12/05/2026,Expenses,,Bida,
ân - Màn hình + 70,-1320000,"₫1,320,000",12/05/2026,Expenses,Vay,Cho vay,
vé số,-20000,"₫20,000",10/05/2026,Expenses,,Ngu,
tiền tuần,400000,"₫400,000",10/05/2026,In-come,,,Family
"nước đá, sữa tươi",-10000,"₫10,000",10/05/2026,Expenses,,AC,
"bida với kiên, tín",-79000,"₫79,000",08/02/2026,Expenses,,Bida,
xăng,-50000,"₫50,000",10/05/2026,Expenses,,DC,
chuối chiên,-13000,"₫13,000",08/02/2026,Expenses,,AC,
mì chú béo,-25000,"₫25,000",09/05/2026,Expenses,,AC,
bida với kiên,-30000,"₫30,000",09/05/2026,Expenses,,Bida,
bida với duy,-32000,"₫32,000",08/05/2026,Expenses,,Bida,
bánh + sữa tươi,-35000,"₫35,000",08/05/2026,Expenses,,AV,
cf + phin,-33000,"₫33,000",07/05/2026,Expenses,,Coffee,
bàn học,-415000,"₫415,000",06/05/2026,Expenses,BigM,Home,
xào đồ,-195000,"₫195,000",06/05/2026,Expenses,BigM,Home,
bếp điện,-545000,"₫545,000",06/05/2026,Expenses,BigM,Home,
nhậu vs ẻm,-400000,"₫400,000",06/05/2026,Expenses,,G,
thùng bia,-250000,"₫250,000",06/05/2026,Expenses,,RL,
tiền p c nhậu,68000,"₫68,000",06/05/2026,In-come,,,Anh em
thuốc,-30000,"₫30,000",06/05/2026,Expenses,,Smoking,
xăng,-50000,"₫50,000",06/05/2026,Expenses,,DC,
"cf vs thiện, hào",-30000,"₫30,000",04/05/2026,Expenses,,Coffee,
phí momo,-33000,"₫33,000",04/05/2026,Expenses,Monthly,Utility,
5G,-70000,"₫70,000",04/05/2026,Expenses,Monthly,Utility,
bida với béo,-38000,"₫38,000",04/05/2026,Expenses,,Bida,
hớt tóc,-50000,"₫50,000",04/05/2026,Expenses,,Body,
cafe,-16000,"₫16,000",04/05/2026,Expenses,,Coffee,
"bún riêu, bánh mì",-45000,"₫45,000",04/05/2026,Expenses,,AC,
iCloud,-19000,"₫19,000",03/05/2026,Expenses,Monthly,Utility,
xăng,-50000,"₫50,000",03/05/2026,Expenses,,DC,
Cọc trọ + 2 khóa,-1800000,"₫1,800,000",03/05/2026,Expenses,Vay,Cho vay,
sách thành phố và những bức tường,-100000,"₫100,000",02/05/2026,Expenses,,Mental,
nước mía,-20000,"₫20,000",02/05/2026,Expenses,,AV,
"cf vs linh, bida vs tường",-40000,"₫40,000",02/05/2026,Expenses,,RL,
tiền tuần,350000,"₫350,000",02/05/2026,In-come,,,Family
xăng,-50000,"₫50,000",02/05/2026,Expenses,,DC,
Cầu lông,-50000,"₫50,000",02/05/2026,Expenses,,Badmintion,
cf vs linh,-20000,"₫20,000",01/05/2026,Expenses,,RL,
bida với tín,-26000,"₫26,000",01/05/2026,Expenses,,Bida,
"mua đồ gia dụng, ổ khóa, chỏi ly + 40
  nùi dẻ",-440000,"₫440,000",30/04/2026,Expenses,,Home,
cf,-12000,"₫12,000",30/04/2026,Expenses,,Coffee,
Tiền điện,-80000,"₫80,000",30/04/2026,Expenses,,Home,
ăn vặt nc mía,-27000,"₫27,000",30/04/2026,Expenses,,RL,
Cầu lông,-30000,"₫30,000",30/04/2026,Expenses,,Badmintion,
xăng,-30000,"₫30,000",30/04/2026,Expenses,,DC,
shopee,2630000,"₫2,630,000",29/07/2026,In-come,Vay,,Cho vay
xăng,-30000,"₫30,000",28/04/2026,Expenses,,DC,
tiền nhà,191000,"₫191,000",28/04/2026,In-come,,,Family
sinh tôs,-20000,"₫20,000",28/04/2026,Expenses,,AV,
"bida với béo, nhã",-80000,"₫80,000",28/04/2026,Expenses,,Bida,
"đi chơi vs ẻm: bida, kara, nc, bánh",-233000,"₫233,000",28/04/2026,Expenses,,G,
uống nước với hiếu + như,-25000,"₫25,000",27/04/2026,Expenses,,RL,
trọ tháng 5,-1300000,"₫1,300,000",26/04/2026,Expenses,BigM,Home,
cf,-24000,"₫24,000",26/04/2026,Expenses,,Coffee,
xăng,-30000,"₫30,000",26/04/2026,Expenses,,DC,
đi chơi vs ẻm,-110000,"₫110,000",26/04/2026,Expenses,,G,
thiếu thịnh : tiền cơm,25000,"₫25,000",16/12/2025,In-come,,,Anh em
bida với béo,-57000,"₫57,000",16/12/2025,Expenses,,Bida,
thuốc lá,-25000,"₫25,000",16/12/2025,Expenses,,Smoking,
"cà chua, dưa leo",-27000,"₫27,000",16/12/2025,Expenses,,AC,
"iphone 12 mini, ốp lưng",-3562000,"₫3,562,000",16/12/2025,Expenses,BigY,Utility,
tổng chi phí đi malay,-4063000,"₫4,063,000",16/12/2025,Expenses,BigY,Study,
"hủ tiếu, cơm, bún",-82000,"₫82,000",17/12/2025,Expenses,,AC,
"net, đi chơi đám thiên",-89000,"₫89,000",17/12/2025,Expenses,,RL,
sinh tố dừa,-15000,"₫15,000",17/12/2025,Expenses,,AV,
xăng,-30000,"₫30,000",23/12/2025,Expenses,,DC,
áo khoác,-433000,"₫433,000",23/12/2025,Expenses,BigM,CL,
áo thun,-204000,"₫204,000",23/12/2025,Expenses,BigM,CL,
khăn giấy,-10000,"₫10,000",23/01/2026,Expenses,,Utility,
cafe,-20000,"₫20,000",25/01/2026,Expenses,,Coffee,
4G monthly,-55000,"₫55,000",25/01/2026,Expenses,Monthly,Utility,
tiền tuần,472000,"₫472,000",25/01/2026,In-come,,,Family
"thit kho, trứng, mì, sữa tưới, afc",-150000,"₫150,000",26/01/2026,Expenses,,AC,
"bánh, nc đá",-18000,"₫18,000",26/01/2026,Expenses,,AC,
hớt tóc,-70000,"₫70,000",27/01/2026,Expenses,,Body,
cơm,-30000,"₫30,000",27/01/2026,Expenses,,AC,
gửi xe,-8000,"₫8,000",27/01/2026,Expenses,,Study,
xăng,-40000,"₫40,000",27/01/2026,Expenses,,DC,
nước ktx,-30000,"₫30,000",27/01/2026,Expenses,,AC,
cafe,-16000,"₫16,000",27/01/2026,Expenses,,Coffee,
bida với ân,-55000,"₫55,000",28/01/2026,Expenses,,Bida,
cafe căn tinn + bida,-30000,"₫30,000",28/01/2026,Expenses,,Coffee,
"cơm trưa, hủ tiếu",-45000,"₫45,000",28/01/2026,Expenses,,AC,
cơm gà,-27000,"₫27,000",29/01/2026,Expenses,,AC,
bida với ân,-43000,"₫43,000",29/01/2026,Expenses,,Bida,
bida với béo,-71000,"₫71,000",29/01/2026,Expenses,,Bida,
trà sữa,-24000,"₫24,000",29/01/2026,Expenses,,AV,
chuyển tiền a3,-500000,"₫500,000",30/01/2026,Expenses,BigM,Family,
ktx 3-II tháng 2,-353000,"₫353,000",02/01/2026,Expenses,Monthly,Home,
xăng,-40000,"₫40,000",02/02/2026,Expenses,,DC,
gửi xe,-4000,"₫4,000",02/02/2026,Expenses,,Study,
cơm,-60000,"₫60,000",02/02/2026,Expenses,,AC,
"cà chua, trứng, thịt kho, cơm",-100000,"₫100,000",02/02/2026,Expenses,,AC,
bida với ân,-36000,"₫36,000",02/02/2026,Expenses,,Bida,
sinh tố đu đủ,-15000,"₫15,000",02/02/2026,Expenses,,AV,
bida với ân,-95000,"₫95,000",03/02/2026,Expenses,,Bida,
điện nước tháng 1,-109000,"₫109,000",08/02/2026,Expenses,Monthly,Home,
hủ tiếu,-25000,"₫25,000",09/02/2026,Expenses,,AC,
bida với tường,-18000,"₫18,000",09/02/2026,Expenses,,Bida,
Badmintion,-115000,"₫115,000",14/02/2026,Expenses,,Badmintion,
nạp điện thoại,-20000,"₫20,000",14/02/2026,Expenses,,Utility,
bida với béo,-60000,"₫60,000",03/02/2026,Expenses,,Bida,
gửi xe,-4000,"₫4,000",03/02/2026,Expenses,,Study,
mì ,-48000,"₫48,000",03/02/2026,Expenses,,AC,
trà sữa ,-23000,"₫23,000",03/02/2026,Expenses,,AV,
iCloud,-19000,"₫19,000",03/02/2026,Expenses,Monthly,Utility,
"đò chiên, nước mía",-25000,"₫25,000",14/02/2026,Expenses,,AV,
bida ,-100000,"₫100,000",14/02/2026,Expenses,,Bida,
"nuôi chiên, hủ tiếu",-50000,"₫50,000",14/02/2026,Expenses,,AC,
quỳnh,2400000,"₫2,400,000",16/05/2026,In-come,"BigY, Vay",,Cho vay
học phí 3-III,-12400000,"₫12,400,000",27/06/2026,Expenses,BigY,Study,
phí momo tháng 6,-33000,"₫33,000",01/06/2026,Expenses,Monthly,Utility,
áo khoác what it is,-669000,"₫669,000",14/02/2026,Expenses,BigM,CL,
túi ssg,-330000,"₫330,000",23/12/2025,Expenses,,CL,
"sữa tưới, nước đá",-10000,"₫10,000",23/12/2025,Expenses,,AC,
dầu gọi,-80000,"₫80,000",24/12/2025,Expenses,,Body,
cafe,-50000,"₫50,000",24/12/2025,Expenses,,Coffee,
"mì, sữa tưới, thịt",-119000,"₫119,000",24/12/2025,Expenses,,AC,
tiền tuần,450000,"₫450,000",24/12/2025,In-come,,,Family
bida với béo,-90000,"₫90,000",25/12/2025,Expenses,,Bida,
ăn sáng,-9000,"₫9,000",25/12/2025,Expenses,,AC,
cơm,-46000,"₫46,000",26/12/2025,Expenses,,AC,
bida với béo,-30000,"₫30,000",26/12/2025,Expenses,,Bida,
tàu hủ,-12000,"₫12,000",26/12/2025,Expenses,,AV,
khăn giấy,-8000,"₫8,000",26/12/2025,Expenses,,Utility,
xăng,-50000,"₫50,000",26/12/2025,Expenses,,DC,
4G monthly,-60000,"₫60,000",26/12/2025,Expenses,Monthly,Utility,
tiền tuần,390000,"₫390,000",29/12/2025,In-come,,,Family
"thịt kho, gạo, trứng",-100000,"₫100,000",29/12/2025,Expenses,,AC,
"net với thiên, hào",-50000,"₫50,000",29/12/2025,Expenses,,NET,
bánh mì,-13000,"₫13,000",29/12/2025,Expenses,,AC,
mì cay,-52000,"₫52,000",29/12/2025,Expenses,,AC,
bida với ân,-40000,"₫40,000",29/12/2025,Expenses,,Bida,
gửi xe,-8000,"₫8,000",29/12/2025,Expenses,,Study,
"cơm gà, mì khô, xoi",-81000,"₫81,000",30/12/2025,Expenses,,AC,
net với thiên,-30000,"₫30,000",30/12/2025,Expenses,,NET,
bida với ân,-60000,"₫60,000",30/12/2025,Expenses,,Bida,
xăng,-30000,"₫30,000",30/12/2025,Expenses,,DC,
" 2
  ly cf với đám",-57000,"₫57,000",01/01/2026,Expenses,,RL,
bánh ăn sáng,-26000,"₫26,000",01/01/2026,Expenses,,AC,
mì cô thanh,-27000,"₫27,000",01/01/2026,Expenses,,AC,
